timestamp,solar_irradiance,solar_irradiance_forecast
2025-02-25 09:00:00+07:00,125.541,92.0
2025-02-25 09:10:00+07:00,175.851,92.0
2025-02-25 09:20:00+07:00,281.847,92.0
2025-02-25 09:30:00+07:00,265.292,92.0
2025-02-25 09:40:00+07:00,213.969,92.0
2025-02-25 09:50:00+07:00,207.131,92.0
2025-02-25 10:00:00+07:00,187.504,121.0
2025-02-25 10:10:00+07:00,290.12,121.0
2025-02-25 10:20:00+07:00,379.073,121.0
2025-02-25 10:50:00+07:00,235.99,121.0
2025-02-25 11:00:00+07:00,230.083,110.0
2025-02-25 11:10:00+07:00,272.585,110.0
2025-02-25 11:20:00+07:00,370.502,110.0
2025-02-25 11:30:00+07:00,566.413,110.0
2025-02-25 11:40:00+07:00,565.262,110.0
2025-02-25 11:50:00+07:00,410.893,110.0
2025-02-25 12:00:00+07:00,415.094,245.0
2025-02-25 12:10:00+07:00,375.308,245.0
2025-02-25 12:20:00+07:00,297.265,245.0
2025-02-25 12:30:00+07:00,344.657,245.0
2025-02-25 12:40:00+07:00,384.576,245.0
2025-02-25 12:50:00+07:00,418.336,245.0
2025-02-25 13:00:00+07:00,471.414,131.0
2025-02-25 13:10:00+07:00,435.251,131.0
2025-02-25 13:20:00+07:00,355.634,131.0
2025-02-25 13:30:00+07:00,315.608,131.0
2025-02-25 13:40:00+07:00,323.207,131.0
2025-02-25 13:50:00+07:00,437.303,131.0
2025-02-25 14:00:00+07:00,653.845,226.0
2025-02-25 14:10:00+07:00,432.792,226.0
2025-02-25 14:20:00+07:00,522.755,226.0
2025-02-25 14:30:00+07:00,679.749,226.0
2025-02-25 14:40:00+07:00,627.648,226.0
2025-02-25 14:50:00+07:00,587.971,226.0
2025-02-25 15:00:00+07:00,497.621,294.0
2025-02-25 15:10:00+07:00,414.54,294.0
2025-02-25 15:20:00+07:00,574.44,294.0
2025-02-25 15:30:00+07:00,371.467,294.0
2025-02-25 15:40:00+07:00,370.097,294.0
2025-02-25 15:50:00+07:00,335.101,294.0
2025-02-25 16:00:00+07:00,242.832,323.0
2025-02-25 16:10:00+07:00,294.633,323.0
2025-02-25 16:20:00+07:00,249.094,323.0
2025-02-25 16:30:00+07:00,200.007,323.0
2025-02-25 16:40:00+07:00,218.676,323.0
2025-02-25 16:50:00+07:00,190.85,323.0
2025-02-25 17:00:00+07:00,154.061,82.0
2025-02-25 17:10:00+07:00,146.509,82.0
2025-02-25 17:20:00+07:00,79.194,82.0
2025-02-25 17:30:00+07:00,70.296,82.0
2025-02-25 17:40:00+07:00,51.925,82.0
2025-02-25 17:50:00+07:00,37.54,82.0
2025-02-25 18:00:00+07:00,28.291,6.0
2025-02-25 18:10:00+07:00,16.37,6.0
2025-02-25 18:20:00+07:00,6.017,6.0
2025-02-25 18:30:00+07:00,2.771,6.0
2025-02-25 18:40:00+07:00,0.203,6.0
2025-02-25 18:50:00+07:00,0.032,6.0
2025-02-25 19:00:00+07:00,0.027,0.0
2025-02-25 19:10:00+07:00,0.021,0.0
2025-02-25 19:20:00+07:00,0.02,0.0
2025-02-25 19:30:00+07:00,0.022,0.0
2025-02-25 19:40:00+07:00,0.012,0.0
2025-02-25 19:50:00+07:00,0.012,0.0
2025-02-25 20:00:00+07:00,0.012,0.0
2025-02-25 20:10:00+07:00,0.015,0.0
2025-02-25 20:20:00+07:00,0.01,0.0
2025-02-25 20:30:00+07:00,0.011,0.0
2025-02-25 20:40:00+07:00,0.01,0.0
2025-02-25 20:50:00+07:00,0.012,0.0
2025-02-25 21:00:00+07:00,0.013,0.0
2025-02-25 21:10:00+07:00,0.011,0.0
